Date,Price,Open,High,Low,Vol. ('000),Change %
05/25/2022,29540.60,29648.70,30202.30,29353.50,78.85,-0.36%
05/24/2022,29648.70,29091.60,29810.80,28706.10,79.42,1.91%
05/23/2022,29093.30,30287.30,30644.80,28913.60,92.1,-3.94%
05/22/2022,30286.60,29433.00,30462.00,29260.10,50.6,2.89%
05/21/2022,29434.60,29188.70,29623.20,28953.90,32.27,0.88%
05/20/2022,29178.60,30305.90,30735.10,28738.50,98.78,-3.72%
05/19/2022,30305.90,28700.40,30525.10,28682.10,101.38,5.66%
05/18/2022,28683.70,30437.50,30687.90,28648.10,92.03,-5.76%
05/17/2022,30437.50,29856.70,30720.10,29484.50,79.63,1.97%
05/16/2022,29849.00,31308.30,31312.40,29135.80,100.25,-4.66%
05/15/2022,31308.70,30078.60,31383.80,29499.40,65.44,4.08%
05/14/2022,30080.40,29285.20,30277.40,28666.70,70.46,2.72%
05/13/2022,29284.40,28994.30,31002.70,28755.00,141.23,1.06%
5/12/2022,28976.00,29073.40,30136.70,26500.50,309.48,-0.32%
5/11/2022,29068.20,31008.00,32113.60,27835.50,296.9,-6.25%
5/10/2022,31007.50,30098.20,32621.20,29831.00,235.61,3.03%
5/9/2022,30095.00,34041.00,34227.00,30095.00,268.09,-11.64%
5/8/2022,34060.00,35468.00,35497.00,33727.00,671.05M,-3.97%
5/7/2022,35468.00,36003.00,36119.00,34773.00,288.86M,-1.50%
5/6/2022,36009.00,36540.00,36646.00,35267.00,752.84M,-1.46%
5/5/2022,36544.00,39686.00,39833.00,36183.00,1.04B,-7.92%
5/4/2022,39688.00,37717.00,40021.00,37660.00,691.49M,5.22%
5/3/2022,37718.00,38515.00,38647.00,37513.00,367.21M,-2.07%
5/2/2022,38514.00,38472.00,39134.00,38061.00,580.79M,0.14%
5/1/2022,38461.00,37642.00,38676.00,37397.00,276.99M,2.15%
04/30/2022,37650.00,38590.00,38776.00,37596.00,248.22M,-2.41%
04/29/2022,38581.00,39748.00,39919.00,38175.00,382.90M,-2.94%
04/28/2022,39748.00,39243.00,40382.00,38888.00,542.39M,1.29%
04/27/2022,39243.00,38113.00,39447.00,37869.00,426.83M,2.96%
